id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
0000997932d777bf,Explanation Why the edits made under my username Hardcore Metallica Fan were reverted They werent vandalism just closure on some GAs after I voted at New York Dolls FAC And please dont remove the template from the talk page since Im retired now892053827,0,0,0,0,0,0
000103f0d9cfb60f,Daww He match this background colour Im seemingly stuck with Thanks talk 2151 January 11 2016 UTC,0,0,0,0,0,0
000113f07ec002fd,Hey man Im really not trying to edit war Its just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page He seems to care more about the formatting than the actual info,0,0,0,0,0,0
0001b41b1c6bb37e,More I cant make any real suggestion on improvement I wondered if the section statistic should be later on or a subsection of type of accident I think the reference may need tidying so that they are all in the exact same format ie date format etc I can do that later on if noone else doe first if you have any preference for formatting style on reference or want to do it yourself please let me know There appears to be a backlog on article for review so I guess there may be a delay until a reviewer turn up Its listed in the relevant form eg WikipediaGoodarticlenominationsTransport,0,0,0,0,0,0
0001d958c54c6e35,You sir are my hero Any chance you remember what page thats on,0,0,0,0,0,0
00025465d4725e87,Congratulations from me a well use the tool well · talk,0,0,0,0,0,0
0002bcb3da6cb337,COCKSUCKER BEFORE YOU PISS AROUND ON MY WORK,1,1,1,0,1,0
00031b1e95af7921,Your vandalism to the Matt Shirvington article ha been reverted Please dont do it again or you will be banned,0,0,0,0,0,0
00037261f536c51d,Sorry if the word nonsense wa offensive to you Anyway Im not intending to write anything in the articlewow they would jump on me for vandalism Im merely requesting that it be more encyclopedic so one can use it for school a a reference I have been to the selective breeding page but it almost a stub It point to animal breeding which is a short messy article that give you no info There must be someone around with expertise in eugenics 93161107169,0,0,0,0,0,0
00040093b2687caa,alignment on this subject and which are contrary to those of DuLithgow,0,0,0,0,0,0
0005300084f90edc,Fair use rationale for ImageWonjujpg Thanks for uploading ImageWonjujpg I notice the image page specifies that the image is being used under fair use but there is no explanation or rationale a to why it use in Wikipedia article constitutes fair use In addition to the boilerplate fair use template you must also write out on the image description page a specific explanation or rationale for why using this image in each article is consistent with fair use Please go to the image description page and edit it to include a fair use rationale If you have uploaded other fair use medium consider checking that you have specified the fair use rationale on those page too You can find a list of image page you have edited by clicking on the my contribution link it is located at the very top of any Wikipedia page when you are logged in and then selecting Image from the dropdown box Note that any fair use image uploaded after 4 May 2006 and lacking such an explanation will be deleted one week after they have been uploaded a described on criterion for speedy deletion If you have any question please ask them at the Media copyright question page Thank you talk • contribs • Unspecified source for ImageWonjujpg Thanks for uploading ImageWonjujpg I noticed that the file description page currently doesnt specify who created the content so the copyright status is unclear If you did not create this file yourself then you will need to specify the owner of the copyright If you obtained it from a website then a link to the website from which it wa taken together with a restatement of that website term of use of it content is usually sufficient information However if the copyright holder is different from the website publisher then their copyright should also be acknowledged As well a adding the source please add a proper copyright licensing tag if the file doesnt have one already If you createdtook the picture audio or video then the tag can be used to release it under the GFDL If you believe the medium meet the criterion at WikipediaFair use use a tag such a or one of the other tag listed at WikipediaImage copyright tagsFair use See WikipediaImage copyright tag for the full list of copyright tag that you can use If you have uploaded other file consider checking that you have specified their source and tagged them too You can find a list of file you have uploaded by following this link Unsourced and untagged image may be deleted one week after they have been tagged a described on criterion for speedy deletion If the image is copyrighted under a nonfree license per WikipediaFair use then the image will be deleted 48 hour after If you have any question please ask them at the Media copyright question page Thank you talk • contribs •,0,0,0,0,0,0
00054a5e18b50dd4,bbq be a man and let discus itmaybe over the phone,0,0,0,0,0,0
0005c987bdfc9d4b,Hey what is it talk What is it an exclusive group of some WP TALIBANSwho are good at destroying selfappointed purist who GANG UP any one who asks them question abt their ANTISOCIAL and DESTRUCTIVE noncontribution at WP Ask Sityush to clean up his behavior than issue me nonsensical warning,1,0,0,0,0,0
0006f16e4e9f292e,Before you start throwing accusation and warning at me let review the edit itselfmaking ad hominem attack isnt going to strengthen your argument it will merely make it look like you are abusing your power a an admin Now the edit itself is relevantthis is probably the single most talked about event int he news a of late His absence is notable since he is the only living expresident who did not attend Thats certainly more notable than his dedicating an aircracft carrier I intend to revert this edit in hope of attracting the attention of an admin that is willing to look at the issue itself and not throw accusation around quite so liberally Perhaps if you achieve a level of civility where you can do this we can have a rational discussion on the topic and resolve the matter peacefully,0,0,0,0,0,0
00070ef96486d6f9,Oh and the girl above started her argument with me She stuck her nose where it doesnt belong I believe the argument wa between me and Yvesnimmo But like I said the situation wa settled and I apologized Thanks,0,0,0,0,0,0
00078f8ce7eb276d,Juelz Santanas Age In 2002 Juelz Santana wa 18 year old then came February 18th which make Juelz turn 19 making song with The Diplomats The third neff to be signed to Cams label under Roc A Fella In 2003 he wa 20 year old coming out with his own single Santanas Town and Down So yes he is born in 1983 He really is how could he be older then Lloyd Banks And how could he be 22 when his birthday passed The homie neff is 23 year old 1983 2006 Juelz death god forbid if your thinking about that equal 23 Go to your caculator and stop changing his year of birth My god,0,0,0,0,0,0
